wals_code,iso_code,glottocode,Name,latitude,longitude,genus,family,macroarea,countrycodes
tnk,lcm,tung1290,Tungak,-2.55,150.25,Oceanic,Austronesian,Papunesia,PG
tnn,baz,tune1241,Tunen,4.75,10.66666667,Bantoid,Niger-Congo,Africa,CM
tns,nwi,sout2869,Tanna (Southwest),-19.56666667,169.3333333,Oceanic,Austronesian,Papunesia,VU
toq,mlu,toab1237,Toqabaqita,-8.416666667,160.5833333,Oceanic,Austronesian,Papunesia,SB
toz,toi,tong1318,Tonga (in Zambia),-17,27,Bantoid,Niger-Congo,Africa,ZM
trw,trw,torw1241,Torwali,34.25,72,Indic,Indo-European,Eurasia,PK
tsg,tsg,taus1251,Tausug,6,121,Greater Central Philippine,Austronesian,Papunesia,PH MY ID
tsn,tso,tson1249,Tsonga,-24,32,Bantoid,Niger-Congo,Africa,MZ ZA
tsp,tam,tami1289,Tamil (Spoken),11,78,Southern Dravidian,Dravidian,Eurasia,IN
tst,huq,tsat1238,Tsat,18.25,109.5,Malayo-Sumbawan,Austronesian,Eurasia,CN
tsw,tsn,tswa1253,Tswana,-24,26,Bantoid,Niger-Congo,Africa,BW ZA
tua,pmt,tuam1242,Tuamotuan,-17,-144,Oceanic,Austronesian,Papunesia,PF
tul,tcy,tulu1258,Tulu,12.75,75.33333333,Southern Dravidian,Dravidian,Eurasia,IN
tum,tmq,tuml1238,Tumleo,-3.083333333,142.4166667,Oceanic,Austronesian,Papunesia,PG
tvl,tvl,tuva1244,Tuvaluan,-8.5,179.1666667,Oceanic,Austronesian,Papunesia,TV
uli,uli,ulit1238,Ulithian,9.916666667,139.5833333,Oceanic,Austronesian,Papunesia,FM
umb,umb,umbu1257,UMbundu,-12.5,15,Bantoid,Niger-Congo,Africa,AO
ura,uur,urav1235,Ura,-18.66666667,169.0833333,Oceanic,Austronesian,Papunesia,VU
urd,urd,urdu1245,Urdu,25,67,Indic,Indo-European,Eurasia,PK
url,urk,urak1238,Urak Lawoi',8,98.33333333,Malayo-Sumbawan,Austronesian,Eurasia,TH
vai,vai,vaii1241,Vai,6.916666667,-11.25,Western Mande,Mande,Africa,SL LR
vas,vas,vasa1239,Vasavi,24.5,71.5,Indic,Indo-European,Eurasia,IN
ved,ved,vedd1240,Vedda,7,81,Indic,Indo-European,Eurasia,LK
ven,ven,vend1245,Venda,-22,30,Bantoid,Niger-Congo,Africa,ZW ZA
vif,vif,vili1238,Vili,-5.5,14,Bantoid,Niger-Congo,Africa,GA CG
vnm,vnm,vinm1237,Vinmavis,-16.16666667,167.4166667,Oceanic,Austronesian,Papunesia,VU
wed,wed,weda1241,Wedau,-10.16666667,150.1666667,Oceanic,Austronesian,Papunesia,PG
wlf,wol,nucl1347,Wolof,15.25,-16,Northern Atlantic,Niger-Congo,Africa,SN GM
wll,wls,wall1257,Wallisian,-13.3,-176.2,Oceanic,Austronesian,Papunesia,WF
wmn,wem,weme1239,WÃ©mÃ©nugbÃ©,6.666666667,2.5,Kwa,Niger-Congo,Africa,BJ
wol,woe,wole1240,Woleaian,7.333333333,143.8333333,Oceanic,Austronesian,Papunesia,FM
wuc,wuu,wuch1236,Wu (Changzhou),31.66666667,119.9166667,Chinese,Sino-Tibetan,Eurasia,CN
wwy,war,wara1300,Waray-Waray,12,125,Greater Central Philippine,Austronesian,Papunesia,PH
xar,ane,xara1244,XÃ¢rÃ¢cÃ¹Ã¹,-21.66666667,166,Oceanic,Austronesian,Papunesia,NC
xas,kao,xaas1235,Xasonga,14.25,-10.5,Western Mande,Mande,Africa,ML SN
xho,xho,xhos1239,Xhosa,-32,27,Bantoid,Niger-Congo,Africa,ZA
xia,nan,minn1241,Xiamen,24.5,118.1666667,Chinese,Sino-Tibetan,Eurasia,CN
yak,yaf,yaka1269,Yaka,-7,17.5,Bantoid,Niger-Congo,Africa,AO CD
yao,yao,yaoo1241,Yao (in Malawi),-14.5,35.5,Bantoid,Niger-Congo,Africa,MW MZ
yav,yuf,hava1248,Yavapai,34,-113.3333333,Yuman,Hokan,North America,US
yba,yam,yamb1251,Yamba,6.416666667,11.08333333,Bantoid,Niger-Congo,Africa,CM
ydb,ydd,east2295,Yiddish (Bessarabian),47,28.5,Germanic,Indo-European,Eurasia,MD
ydd,ydd,yidd1255,Yiddish,52,23,Germanic,Indo-European,Eurasia,LT PL DE BY UA
ydl,ydd,east2295,Yiddish (Lodz),51.75,19.41666667,Germanic,Indo-European,Eurasia,PL
yem,ybb,yemb1246,Yemba,5.416666667,10.08333333,Bantoid,Niger-Congo,Africa,CM
yey,yey,yeyi1239,Yeyi,-20,23.5,Bantoid,Niger-Congo,Africa,BW NA
ykm,yky,yako1252,Yakoma,4.416666667,18.41666667,Ubangi,Niger-Congo,Africa,CF
ylt,ydd,east2295,Yiddish (Lithuanian),55,25,Germanic,Indo-European,Eurasia,LT
yns,yns,yans1239,Yansi,-3.833333333,18,Bantoid,Niger-Congo,Africa,CD
yor,yor,yoru1245,Yoruba,8,4.333333333,Defoid,Niger-Congo,Africa,NG BJ
zan,zne,zand1248,Zande,4,26,Ubangi,Niger-Congo,Africa,SD CF CD
zno,zul,zulu1248,Zulu (Northern),-28,31,Bantoid,Niger-Congo,Africa,ZA
zso,zul,zulu1248,Zulu (Southern),-31,30,Bantoid,Niger-Congo,Africa,ZA
zul,zul,zulu1248,Zulu,-30,30,Bantoid,Niger-Congo,Africa,ZA
